Mean,Color,Period,Period_fit,Amplitude,Std,Autocorrelatio_ length,Beyond1Std,FluxPercentileRatioMid20,Meanvariance,MedianAbsDev,Rcs,Skew,SmallKurtosis
-7.702736641,0.044778252,3812.988195,6.90E-46,0.226,0.145805434,237.32478,0.488549618,0.288416076,-0.018929043,0.124,0.433787584,-0.260188598,-1.245268562
-9.20153373,-0.230143541,16144.66882,9.87E-95,0.139,0.088149015,234.371838,0.39484127,0.27734375,-0.009579818,0.0765,0.373187794,0.315256213,-1.135935658
-6.737660981,-0.483977812,3267.374569,1.65E-74,0.225,0.139465803,297.372152,0.36673774,0.240310078,-0.020699439,0.114,0.423824921,-0.157051763,-0.640113505
-6.703207265,-0.305166361,926.3990481,1.87E-18,0.1475,0.077778475,0.674862,0.248931624,0.167364017,-0.011603173,0.0455,0.153547099,0.111467906,3.11849437
-7.320431775,-0.484628054,5431.64345,9.11E-263,0.16025,0.092996638,0.387216,0.3632287,0.226950355,-0.012703709,0.076,0.402706601,0.285555607,-0.683598324
-7.126886747,-0.32972384,3267.237833,8.03E-55,0.11475,0.06065966,106.952895,0.33253012,0.169312169,-0.008511383,0.043,0.376039689,0.460762038,-0.331817299
-7.341394967,-0.39236888,3937.195954,1.32E-134,0.1265,0.070016741,110.536288,0.304157549,0.148648649,-0.009537253,0.0495,0.380150073,0.500721989,-0.412190521
-7.418997021,-0.041930929,4036.167206,3.67E-154,0.11175,0.066240309,422.489088,0.289970209,0.235,-0.008928472,0.046,0.400255309,0.427627388,-0.305453902
-5.514612075,0.628076578,1313.584629,4.39E-40,0.234,0.124352893,0.125556,0.273421235,0.182065217,-0.022549708,0.081,0.216740473,-0.064659352,2.518989709
-8.014082707,-0.32268179,1243.21179,1.17E-73,0.10875,0.063099232,223.82875,0.386680988,0.21025641,-0.007873544,0.052,0.357441102,0.084425839,-0.977899128
-8.326376227,-0.038974597,4040.438316,6.91E-127,0.1815,0.104082129,403.46592,0.311886587,0.222910217,-0.012500291,0.08,0.404820105,0.342744717,-0.855383733
-6.165701178,-0.322176788,5445.695556,3.88E-82,0.1915,0.094180753,0.318162,0.254208754,0.139158576,-0.015274946,0.056,0.243630402,0.528694361,2.289687334
-6.73394235,-0.071691002,2249.82626,2.58E-111,0.1755,0.102232242,49.616952,0.333702882,0.249158249,-0.015181633,0.086,0.393848431,0.441833187,-0.290892923
-7.653897155,-0.465115422,3228.976972,1.45E-144,0.1225,0.070253918,435.68954,0.222100656,0.200892857,-0.009178843,0.041,0.398934075,0.82629951,-0.119281231
-6.986867963,-0.217475356,2333.905545,1.87E-99,0.119,0.063625069,0.340138,0.286591607,0.186868687,-0.009106379,0.04,0.325899108,-0.018905105,0.873495696
-6.943047047,-0.478270418,2018.106416,1.54E-11,0.1175,0.054520981,0.903148,0.218218218,0.10982659,-0.007852601,0.026,0.129837185,-0.404282138,3.432424648
-5.934680514,-0.402354672,1703.294757,5.02E-28,0.138,0.072368232,0.109687,0.228486647,0.112676056,-0.012194124,0.037,0.174782561,-0.059193543,7.253832291
-6.865284722,0.453863426,960.3605721,1.22E-126,0.265,0.153419792,58.656861,0.36882716,0.194616977,-0.022347186,0.1125,0.236718242,0.134931286,-0.140080784
-7.947698068,-0.500478555,3136.510042,3.24E-34,0.10575,0.054967739,103.99455,0.169082126,0.063829787,-0.006916184,0.016,0.313994833,1.697090883,2.081545601
-7.223665653,-0.42715475,16215.90326,6.50E-33,0.11175,0.061208181,32.16932,0.316109422,0.118811881,-0.008473285,0.039,0.286706975,-0.741219453,0.265513006
-7.266297365,-0.42176858,4057.123993,1.65E-124,0.1495,0.094015593,270.52233,0.281053952,0.145454545,-0.012938583,0.036,0.419649374,0.869361224,-0.658598647
-6.966887906,-1.022921239,2316.557609,3.62E-14,0.14675,0.083823627,2.07544,0.233038348,0.144067797,-0.012031717,0.045,0.232137023,1.239876411,6.691435754
-7.114443233,-0.01015427,8129.014236,9.27E-226,0.259,0.159189893,0.024907,0.282873637,0.171189979,-0.022375594,0.093,0.427851122,0.678255592,-0.723116057
-6.705565543,0.084207875,2722.708021,5.46E-89,0.13475,0.076494864,0.557778,0.358302122,0.12987013,-0.011407668,0.044,0.367399895,0.161656863,0.980219538
-5.101770813,0.048836992,0.499093261,9.63E-97,0.539,0.298893182,4.464815,0.380019589,0.15755627,-0.058586164,0.2,0.136917858,-0.496114414,-0.275877812
-7.765181568,-0.429995174,4084.241459,1.06E-125,0.1925,0.129596687,408.342736,0.284731774,0.136111111,-0.01668946,0.051,0.433232278,0.749853836,-0.998675496
-7.530067141,-0.520945898,2018.106416,4.89E-167,0.093,0.053930474,339.477744,0.399796541,0.248447205,-0.007162018,0.045,0.419753343,-0.085807257,-1.005802243
-7.194280872,-0.290568436,3245.708138,4.02E-69,0.17325,0.114630445,345.159969,0.421307506,0.303921569,-0.015933552,0.057,0.456002015,-0.454687754,-1.38853707
-8.223818182,-0.166258182,1482.482936,7.27E-23,0.0715,0.039945082,27.11255,0.34169279,0.215517241,-0.004857243,0.03,0.310885651,0.482311725,0.630814589
-6.648304989,-0.319641247,1774.713657,1.76E-143,0.172,0.093933948,1.200629,0.317638791,0.171717172,-0.014129007,0.062,0.344335584,0.030246086,0.931336392
-6.68271079,1.063146195,2306.412123,7.13E-42,0.15125,0.074151326,14.45056,0.296996663,0.137651822,-0.011095995,0.043,0.234204589,0.320353412,0.974466241
-6.436595314,0.187278872,2624.797303,2.89E-68,0.1595,0.08617087,14.520825,0.266240682,0.14453125,-0.013387648,0.048,0.31998584,0.231078811,3.021346867
-5.785738537,0.38979777,2018.083603,1.72E-145,0.711,0.349780413,312.290435,0.181463415,0.097484277,-0.06045562,0.185,0.359214282,0.855117731,1.283681832
-6.733727915,-0.054666566,3811.44427,0.026559838,0.057,0.031088387,1.142443,0.233215548,0.126315789,-0.004616817,0.017,0.147803602,0.027486754,5.169961828
-7.451318681,-0.508194594,3228.976972,2.86E-123,0.2385,0.152327523,346.571225,0.36043956,0.2004662,-0.020443029,0.097,0.380667022,-0.533298568,-0.018523111
-7.378238532,-0.353068697,3262.863361,1.81E-203,0.083,0.047599477,0.562208,0.291460833,0.171232877,-0.006451333,0.034,0.376744756,0.607003424,-0.297517838
-7.331644422,-0.496291481,2690.808554,3.45E-194,0.26475,0.175020716,527.87424,0.309760956,0.174950298,-0.023871959,0.1195,0.431441953,0.478906674,-1.154623546
-6.545662767,-0.005110993,5438.105602,2.30E-225,0.124,0.073142098,0.329098,0.350309704,0.248868778,-0.011174132,0.051,0.405406366,0.220012315,-0.515223911
-7.352639024,-0.442801964,2042.023646,9.53E-76,0.10075,0.068041389,341.087285,0.4,0.457446809,-0.009254009,0.066,0.462523355,0.055189141,-1.515619345
-7.1932341,-0.452011878,5431.778148,8.97E-129,0.113,0.060405144,0.112848,0.292286874,0.18134715,-0.008397495,0.043,0.342539351,0.390757645,0.199240749
-7.558491491,-0.318647837,4036.167206,5.98E-168,0.109,0.062608766,430.406015,0.241241241,0.207253886,-0.008283236,0.037,0.404407807,0.903183136,0.031491061
-7.107582483,-0.335222343,5445.695556,9.52E-201,0.138,0.085228435,2.522272,0.386904762,0.21031746,-0.011991199,0.066,0.403466184,-0.173717471,-0.497284667
-7.87048284,-0.2647701,2690.813009,3.41E-131,0.09325,0.053036808,419.016005,0.233136095,0.184971098,-0.006738698,0.038,0.395200409,0.697853344,-0.145022765
-6.726840964,-0.559054972,1485.108106,1.63E-44,0.104,0.049779211,50.90855,0.26746988,0.152046784,-0.007400087,0.028,0.232856139,-0.760609255,2.469757424
-6.103327947,0.050177878,2718.857291,4.50E-37,0.11975,0.061308637,0.320394,0.235741445,0.138297872,-0.010045116,0.0345,0.192706884,0.662016972,3.341280805
-7.543052129,-0.384584937,2721.8575,1.51E-153,0.1555,0.079189184,0.231134,0.318853171,0.135231317,-0.010498295,0.052,0.370618846,0.338493044,-0.173813596
-6.604448032,0.469385783,2306.407332,3.90E-129,0.137,0.078145515,291.13312,0.323915237,0.207964602,-0.011832255,0.059,0.379965603,-0.116599544,1.941493017
-6.955054871,-0.486634198,2018.110607,9.65E-108,0.12325,0.065967876,274.295598,0.300111982,0.21025641,-0.009484882,0.048,0.378021871,0.268530126,0.988893021
-7.593619004,-0.060666426,1087.542916,2.66E-110,0.081,0.046284692,22.487751,0.365313653,0.193103448,-0.006095209,0.0355,0.299827503,0.298902315,-0.64546684
-7.226727273,-0.179212406,4036.221215,2.31E-101,0.1795,0.096562966,111.588468,0.243154436,0.174216028,-0.013361922,0.06,0.335449661,0.3385506,3.035645834
-6.589918863,0.394634583,16217.43785,5.67E-122,0.62025,0.292906246,0.087686,0.275312067,0.121801433,-0.044447626,0.1715,0.293350877,0.397690899,1.203912477
-6.976472758,-0.338130072,8168.543334,8.40E-191,0.141,0.071597209,0.425832,0.29673093,0.173160173,-0.010262666,0.049,0.370782929,0.308589121,0.745731839
-6.758668593,-0.324001927,3280.56368,1.09E-155,0.109,0.062867616,294.29743,0.329479769,0.137755102,-0.009301775,0.045,0.361144778,0.313484773,0.426823914
-6.281766779,-0.303912665,2329.490774,1.61E-144,0.157,0.088776656,0.346701,0.282718121,0.145985401,-0.014132434,0.0495,0.368323214,0.668891397,0.448066396
-7.764770725,-0.425006856,2699.675127,8.44E-167,0.1445,0.078428951,0.095835,0.234455959,0.095238095,-0.010100614,0.032,0.362363488,1.133749025,0.319979214
-7.588146113,-0.383279721,3262.863361,5.40E-200,0.1225,0.076955421,12.333438,0.316353887,0.294642857,-0.010141531,0.047,0.439465379,0.495133393,-1.080313096
-6.314507353,0.467136842,2164.342332,9.88E-40,0.7455,0.447280582,296.84618,0.301470588,0.108049311,-0.070833805,0.397,0.4086846,0.067369676,-1.057969968
-6.313527746,-0.126971814,2718.828704,3.96E-109,0.1545,0.082447843,0.254942,0.314835787,0.134099617,-0.013058918,0.053,0.337498839,0.073422223,0.590231644
-7.922277268,-0.170480014,3584.588039,1.33E-130,0.095,0.053582185,333.603452,0.20795107,0.098765432,-0.006763483,0.018,0.381507853,1.366263856,1.720492163
-6.986666346,-0.40208021,2715.822708,3.97E-103,0.08275,0.043898739,192.833316,0.311538462,0.155555556,-0.006283217,0.028,0.349913702,0.24205074,0.217539088
-6.772925205,-0.41344858,3267.467764,2.16E-146,0.141,0.085447733,1.415313,0.43852459,0.252964427,-0.012616075,0.0615,0.431200979,-0.322637931,-1.053756619
-7.833938883,-0.235573992,2717.699109,8.69E-155,0.14,0.091620894,449.333544,0.307692308,0.236641221,-0.01169538,0.059,0.444513407,0.498901086,-1.207571675
-6.895381365,-0.260668721,436.3424006,1.03E-19,0.22775,0.117812114,0.885914,0.234019502,0.133704735,-0.017085656,0.061,0.158808957,-0.663473787,3.45601067
-6.253505814,-0.343717294,16215.90326,1.82E-39,0.163,0.080850386,1.034884,0.215116279,0.079037801,-0.01292881,0.035,0.313326625,-1.377116562,1.816463708
-7.738635338,-0.529921053,1170.489049,2.27E-25,0.129,0.068516274,129.018822,0.296992481,0.153488372,-0.008853793,0.045,0.319022885,0.47843382,0.421176273
-6.743429577,-0.147201507,1088.984077,1.44E-17,0.063,0.033664437,2.388612,0.306338028,0.19,-0.004992183,0.0215,0.176461824,0.831725295,1.650959444
-7.733559091,-0.371739478,14308.32292,6.16E-145,0.08825,0.047483166,405.51884,0.317045455,0.15483871,-0.006139885,0.034,0.383545454,0.34626568,-0.50020842
-7.040307398,-0.431147915,3267.249625,9.15E-107,0.1445,0.08529607,0.557778,0.295918367,0.143968872,-0.01211539,0.046,0.41150413,0.902496633,-0.036293337
-6.892513514,-0.458781267,16161.75326,1.71E-82,0.085,0.044629103,11.127084,0.231351351,0.161538462,-0.006475011,0.026,0.281854948,-0.651644205,5.158297202
-6.973823415,-0.338079205,849.7194117,1.18E-132,0.167,0.079352778,115.192227,0.294634146,0.154716981,-0.011378662,0.053,0.200154401,-0.610972901,0.784674951
-7.65443299,-0.279856067,2540.962847,4.44E-24,0.04775,0.023755154,38.843062,0.316151203,0.164556962,-0.003103451,0.016,0.345104129,0.134396599,0.098388801
-7.070414163,-0.279375536,2332.957659,2.82E-67,0.0775,0.0420105,201.76838,0.336909871,0.215384615,-0.005941731,0.031,0.396321443,0.182776463,-0.211556598
-9.189601185,0.277876949,8.403851167,2.52E-235,0.259,0.175139816,1.378702,0.363251482,0.264,-0.019058478,0.152,0.0357175,0.311063414,-1.314955852
-8.505859431,0.082832299,2.151598402,2.38E-232,0.20375,0.141394597,0.411668,0.43772242,0.313131313,-0.016623199,0.141,0.027767956,-0.02911653,-1.477673773
-7.424888152,0.483904338,3.029888073,4.08E-145,0.62925,0.344849113,0.387408,0.390521327,0.172687225,-0.046445025,0.228,0.033361736,-0.382662267,-0.739223429
-8.255366087,0.148234438,3.711287294,3.37E-190,0.399,0.254089103,0.492364,0.466086957,0.21846554,-0.03077866,0.1895,0.029688625,-0.490218874,-1.034751107
-10.05858844,0.356209721,17.52274887,1.74E-207,0.515,0.339286344,2.631936,0.418666667,0.299502488,-0.03373101,0.299,0.054811666,-0.165878227,-1.339552637
-8.333322732,0.297520956,4.935017213,1.62E-186,0.312,0.19780173,0.722535,0.44059869,0.212978369,-0.023736238,0.169,0.020069974,-0.178353464,-1.143897245
-7.399224092,0.276775908,1.836246675,4.48E-210,0.15725,0.103079451,0.322671,0.43489814,0.271812081,-0.013931116,0.091,0.046210356,-0.042992587,-0.72184115
-7.581766974,0.161992788,1.466130007,1.28E-220,0.1145,0.071220807,0.321354,0.416596815,0.274038462,-0.009393695,0.063,0.048222106,-0.157098835,-0.728740447
-8.374845059,0.192380072,4.20408818,3.04E-196,0.4575,0.286595344,0.642708,0.441373534,0.217687075,-0.034220973,0.2265,0.025078227,-0.362794304,-1.119185292
-8.315727352,0.271889258,4.58049799,1.75E-210,0.28,0.182652785,0.496484,0.449477352,0.23572744,-0.021964739,0.157,0.043516458,-0.229459485,-1.243697296
-8.120208633,0.138348031,2.269403812,1.25E-226,0.235,0.160195799,0.502732,0.464028777,0.298013245,-0.01972804,0.152,0.031920779,-0.019381231,-1.446423178
-8.064872466,0.239038645,1.979772984,5.98E-200,0.1395,0.085288985,0.53229,0.378378378,0.230452675,-0.010575367,0.069,0.058730772,0.201101488,-0.138342756
-9.484111012,0.165293896,5.776904762,1.68E-185,0.2395,0.147297946,0.799491,0.44937833,0.152838428,-0.015531023,0.112,0.024059561,-0.536533064,-0.837976079
-7.154052038,0.166922875,1.623152419,1.05E-207,0.221,0.146858461,0.369273,0.48048569,0.248815166,-0.020528011,0.1,0.04399625,-0.485671725,-1.066615606
-7.638959744,0.22280349,2.524254874,6.19E-177,0.36475,0.233245874,0.412362,0.487648673,0.237068966,-0.030533722,0.163,0.024383493,-0.533312885,-1.046606899
-8.372830645,0.231806933,4.675754627,7.18E-181,0.4465,0.281056543,0.521355,0.431899642,0.230057803,-0.033567685,0.234,0.030874566,-0.286903262,-1.164468532
-8.061552941,0.247261032,3.040589367,7.83E-187,0.343,0.206340512,0.53229,0.471428571,0.208598726,-0.025595628,0.144,0.031722204,-0.569199815,-0.804623235
-7.931836717,0.149460651,2.687726292,2.64E-197,0.3185,0.19868821,0.348783,0.470389171,0.219869707,-0.025049458,0.148,0.030968191,-0.528046278,-0.970901242
-8.302307628,0.049485746,1.913214848,1.04E-227,0.216,0.141217067,0.50839,0.441743504,0.308270677,-0.017009375,0.132,0.045147615,-0.118463375,-1.164926258
-8.2774375,0.164692807,3.362232284,2.34E-200,0.363,0.23521418,0.320103,0.477195946,0.234042553,-0.028416304,0.189,0.031011486,-0.41149667,-1.169800422
-8.182809302,0.165833441,3.090706929,8.81E-177,0.428,0.275841913,0.492364,0.477209302,0.229368932,-0.033709928,0.22,0.032512756,-0.453400348,-1.103983455
-9.702590628,0.241960033,11.85560892,2.29E-211,0.5305,0.305453864,0.657984,0.419982317,0.15049505,-0.031481681,0.223,0.040866293,-0.504208956,-0.558777773
-8.379632945,0.103998445,2.193184199,7.80E-229,0.2245,0.149219058,0.428472,0.45568487,0.248837209,-0.01780735,0.145,0.026128138,0.012244849,-1.398910863
-9.589199336,0.187521253,5.914948106,4.51E-227,0.167,0.112705022,0.630906,0.46345515,0.309904153,-0.01175333,0.107,0.028326626,-0.030600661,-1.121992197
-9.123082215,0.277433492,7.84305649,6.18E-228,0.2435,0.157425566,1.277496,0.437080537,0.263383298,-0.017255743,0.139,0.055136214,0.04377441,-1.25955707
-7.373965136,0.129396785,1.276534354,3.34E-219,0.1265,0.080008012,0.319374,0.446428571,0.266094421,-0.010850066,0.0695,0.025274327,-0.152263027,-1.056573154
-10.10553781,0.361148567,17.21505444,3.60E-195,0.665,0.38116,2.863458,0.38317757,0.207623682,-0.037717933,0.289,0.035459438,-0.594802089,-0.638012926
-8.051051502,0.118489416,1.902980392,4.85E-234,0.2025,0.139567471,0.346701,0.462660944,0.287179487,-0.01733531,0.136,0.028773528,0.001151723,-1.419571984
-8.320331593,0.313572237,4.210157759,1.48E-219,0.1345,0.085507621,0.752899,0.457789382,0.268,-0.010276949,0.077,0.025722073,-0.173044676,-1.322200989
-9.405924497,0.290264412,9.712893382,2.47E-233,0.314,0.210851958,1.484769,0.333053691,0.230263158,-0.022416931,0.1785,0.0310311,0.294876962,-1.325633294
-9.198698888,0.392770848,12.183712,6.28E-223,0.411,0.259040603,2.42778,0.422583405,0.191489362,-0.02816057,0.214,0.052127104,-0.291828868,-1.138150794
-8.491976319,0.226739965,4.381090552,3.13E-159,0.3785,0.243606106,0.630035,0.457481163,0.234972678,-0.028686621,0.209,0.036253783,-0.258815487,-1.24318495
-8.859241935,0.131047932,3.408535831,4.89E-241,0.18925,0.123485171,0.685278,0.463497453,0.254847645,-0.013938571,0.107,0.03920084,-0.273368087,-1.285168782
-8.093909322,0.230176718,3.26520533,8.36E-196,0.379,0.239969852,0.348783,0.456779661,0.222222222,-0.029648201,0.177,0.021886026,-0.532311877,-1.002452181
-8.046420792,0.229799391,3.08084253,5.73E-95,0.352,0.220326137,0.54588,0.452145215,0.218562874,-0.027381881,0.1525,0.056583209,-0.453858091,-0.812922157
